StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,mortality_HRI,worker_HRI_cases
20,Kansas,2013,50892,3,40,239,260,82,624,8442,5351,2411,568,105,0,1,13,46,43,103,8111,5015,2157,322,Suppressed,50
20,Kansas,2014,52392,6,33,242,236,62,579,9365,5905,2945,808,105,0,0,15,27,22,64,8773,5256,2543,615,Suppressed,20
20,Kansas,2015,53802,10,45,297,343,118,813,7276,3527,841,63,105,0,0,9,42,29,80,6775,3074,575,20,Suppressed,140
20,Kansas,2016,54828,9,53,412,465,133,1072,7672,3699,1023,89,105,0,0,21,62,30,113,7403,3380,766,59,Suppressed,80
20,Kansas,2017,56382,7,54,292,317,124,794,6395,3089,849,104,105,1,4,15,46,38,104,5909,2645,623,63,Suppressed,30
20,Kansas,2018,58150,19,56,344,489,198,1106,9066,4635,1492,140,105,1,0,24,53,49,127,8553,4222,1249,92,Suppressed,40
20,Kansas,2019,62028,13,58,366,437,174,1048,5578,1842,488,51,105,1,3,26,52,43,125,4954,1506,387,35,Suppressed,50
20,Kansas,2020,63214,3,29,247,340,152,771,7553,3654,832,51,105,1,0,17,45,32,95,7068,3325,529,9,Suppressed,30
21,Kentucky,2011,41141,18,128,829,1029,247,2251,3110,484,36,0,120,0,3,37,156,90,286,2698,336,18,0,17,120
21,Kentucky,2012,41717,19,89,696,867,209,1880,4673,1855,616,132,120,1,3,36,108,60,208,4383,1686,548,108,Suppressed,90
21,Kentucky,2013,43307,0,0,19,55,32,106,1481,224,25,0,120,0,0,22,66,38,126,1218,159,24,0,Suppressed,50
21,Kentucky,2014,42914,8,64,480,579,144,1275,3980,1270,281,15,120,0,3,15,60,18,96,3401,1056,238,14,Suppressed,40
21,Kentucky,2015,45178,17,66,498,692,206,1479,1474,112,0,0,120,1,0,17,70,43,131,1236,80,0,0,Suppressed,60
21,Kentucky,2016,46610,12,67,667,908,252,1906,2621,44,0,0,120,0,0,42,104,34,180,2053,8,0,0,Suppressed,70
21,Kentucky,2017,48332,8,53,415,573,151,1200,1656,142,0,0,120,0,0,19,59,35,113,1298,91,0,0,Suppressed,20
21,Kentucky,2018,50189,14,96,719,985,292,2106,2334,165,0,0,120,0,1,31,94,55,181,2000,97,0,0,10,50
21,Kentucky,2019,52256,20,115,580,886,280,1881,2342,64,0,0,120,1,1,20,78,50,150,1977,49,0,0,Suppressed,20
21,Kentucky,2020,54074,11,33,382,610,178,1214,1263,2,0,0,120,0,0,21,62,40,123,901,0,0,0,Suppressed,40
22,Louisiana,2011,41804,22,141,1095,1356,327,2941,8327,5475,2836,758,64,3,3,52,169,63,290,8104,5302,2705,649,17,90
22,Louisiana,2012,42998,21,84,914,1059,249,2327,6259,2721,985,121,64,0,3,42,116,48,209,5966,2521,887,102,13,80
22,Louisiana,2013,44234,14,84,873,1019,237,2227,5980,2996,1037,145,64,2,0,37,99,37,175,5647,2840,928,118,Suppressed,80
22,Louisiana,2014,44680,22,91,1000,990,219,2322,6833,3252,1098,115,64,1,0,48,100,37,186,6579,3050,1000,73,Suppressed,50
22,Louisiana,2015,45829,20,110,1111,1284,311,2836,5155,1383,138,22,64,1,4,63,131,44,243,4905,1190,112,22,10,50
22,Louisiana,2016,45374,19,109,1093,1465,315,3001,4642,469,0,0,64,0,2,54,133,66,255,4371,383,0,0,11,80
22,Louisiana,2017,46283,16,80,678,886,251,1911,3088,211,4,0,64,0,0,30,76,35,141,2791,144,0,0,Suppressed,60
