StateFIPS,State,Year,ANNUAL_MEDIAN_HOUSEHOLD_INCOME,ER_visits_hri_age_0_4,ER_visits_hri_age_5_14,ER_visits_hri_age_15_34,ER_visits_hri_age_35_64,ER_visits_hri_age_over_65,total_ER_visits,days_over_90_degrees,days_over_95_degrees,days_over_100_degrees,days_over_105_degrees,num_counties.x,HSP_visits_age_0_4,HSP_visits_age_5_14,HSP_visits_age_15_34,HSP_visits_age_35_64,HSP_visits_age_over_65,total_HS,HE_over_90_degrees,HE_over_95_degrees,HE_over_100_degrees,HE_over_105_degrees,num_counties.y,mortality_HRI,worker_HRI_cases
20,Kansas,2016,54828,9,53,412,465,133,1072,73.06666666666666,35.22857142857143,9.742857142857142,0.8476190476190476,105,0,0,21,62,30,113,70.5047619047619,32.19047619047619,7.295238095238095,0.5619047619047619,105,Suppressed,80
20,Kansas,2017,56382,7,54,292,317,124,794,60.904761904761905,29.419047619047618,8.085714285714285,0.9904761904761905,105,1,4,15,46,38,104,56.27619047619048,25.19047619047619,5.933333333333334,0.6,105,Suppressed,30
20,Kansas,2018,58150,19,56,344,489,198,1106,86.34285714285714,44.142857142857146,14.209523809523809,1.3333333333333333,105,1,0,24,53,49,127,81.45714285714286,40.20952380952381,11.895238095238096,0.8761904761904762,105,Suppressed,40
20,Kansas,2019,62028,13,58,366,437,174,1048,53.12380952380953,17.542857142857144,4.647619047619048,0.4857142857142857,105,1,3,26,52,43,125,47.180952380952384,14.342857142857143,3.6857142857142855,0.3333333333333333,105,Suppressed,50
20,Kansas,2020,63214,3,29,247,340,152,771,71.93333333333334,34.8,7.923809523809524,0.4857142857142857,105,1,0,17,45,32,95,67.31428571428572,31.666666666666668,5.038095238095238,0.08571428571428572,105,Suppressed,30
21,Kentucky,2011,41141,18,128,829,1029,247,2251,25.916666666666668,4.033333333333333,0.3,0,120,0,3,37,156,90,286,22.483333333333334,2.8,0.15,0,120,17,120
21,Kentucky,2012,41717,19,89,696,867,209,1880,38.94166666666667,15.458333333333334,5.133333333333334,1.1,120,1,3,36,108,60,208,36.525,14.05,4.566666666666666,0.9,120,Suppressed,90
21,Kentucky,2013,43307,0,0,19,55,32,106,12.341666666666667,1.8666666666666667,0.20833333333333334,0,120,0,0,22,66,38,126,10.15,1.325,0.2,0,120,Suppressed,50
21,Kentucky,2014,42914,8,64,480,579,144,1275,33.166666666666664,10.583333333333334,2.341666666666667,0.125,120,0,3,15,60,18,96,28.341666666666665,8.8,1.9833333333333334,0.11666666666666667,120,Suppressed,40
21,Kentucky,2015,45178,17,66,498,692,206,1479,12.283333333333333,0.9333333333333333,0,0,120,1,0,17,70,43,131,10.3,0.6666666666666666,0,0,120,Suppressed,60
